step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
0,adverse,100.0,0.11904761904761904,4.026661259767401,0.5339775782209893,0.04114458795459405,13.714862651531355,-17.609811375070816,2.9359692835657833,5.117353235969019,1.0906919762016178,0,,0,0.0,0.0,0.0,0.0
1,adverse,100.12136200582911,0.11888888888888888,4.088970009691835,0.5389458870179602,0.04107509611612885,13.70665197599781,-17.63667423575084,2.9826385372591844,5.195301482124485,1.1063314724326505,0,,0,0.0,0.0,0.0,0.0
2,adverse,100.41134956617046,0.11873015873015873,4.2441764327731875,0.5508094855601094,0.04084578502972975,13.690898018814721,-17.675445945844036,3.0988881481471173,5.389464717399258,1.1452882846260701,0,,0,0.0,0.0,0.0,0.0
3,adverse,100.5278390457886,0.11857142857142856,4.30580920725702,0.5555529983062284,0.04076031804321832,13.675661474965958,-17.693448556439485,3.145051096235508,5.466567318278533,1.1607581110215122,0,,0,0.0,0.0,0.0,0.0
4,adverse,100.06613983827567,0.1184126984126984,4.050868019197338,0.5366139851317725,0.04120325570377543,13.679245260898611,-17.662429348163172,2.9541001463788064,5.14763589201587,1.096767872818532,0,,0,0.0,0.0,0.0,0.0
5,adverse,100.38561687881719,0.11825396825396825,4.221592366824126,0.5497221970176144,0.04095264463645453,13.664655643026489,-17.706363220553992,3.08197268275127,5.361212050896982,1.1396196840728556,0,,0,0.0,0.0,0.0,0.0
6,adverse,100.54318916022764,0.11809523809523809,4.305908187132751,0.556155689134518,0.04082742728063065,13.6473316176755,-17.727044268544084,3.14512523216243,5.4666911421030715,1.1607829549703206,0,,0,0.0,0.0,0.0,0.0
7,adverse,100.35229680103734,0.11793650793650794,4.197674593046173,0.5483313815420476,0.041039098868599855,13.64767730761933,-17.725735864842278,3.064058270191584,5.331290915900762,1.1336163228545895,0,,0,0.0,0.0,0.0,0.0
8,adverse,100.55760351887167,0.11777777777777777,4.308297719779482,0.5567297112720301,0.040868120550096254,13.628117909236714,-17.749714146584164,3.146914992114832,5.469680447444132,1.16138272766465,0,,0,0.0,0.0,0.0,0.0
9,adverse,100.68638640339799,0.11761904761904761,4.377514529687595,0.5619806999571274,0.04076227691398447,13.609295178506713,-17.765106889019687,3.1987583827360084,5.556270676639182,1.1787561469515864,0,,0,0.0,0.0,0.0,0.0
10,adverse,100.79028586868549,0.11746031746031746,4.433302881969453,0.5662093448090713,0.04067721491788854,13.590572936638944,-17.777546654631074,3.2405438585951205,5.626061905343786,1.1927590233743328,0,,0,0.0,0.0,0.0,0.0
11,adverse,100.7997648365436,0.1173015873015873,4.435849075104763,0.5665944380567982,0.04069423790466574,13.580441147659108,-17.788622939626013,3.242450957253467,5.629247192956058,1.1933981178512956,0,,0,0.0,0.0,0.0,0.0
12,adverse,100.99372867395132,0.11714285714285713,4.543688002110336,0.5744712142764505,0.04049894418850529,13.548972401626378,-17.79690339195667,3.323222313580642,5.764153690640031,1.2204656885296945,0,,0,0.0,0.0,0.0,0.0
13,adverse,100.73106417555229,0.11698412698412698,4.391369244892829,0.5637915409058311,0.040824902177640385,13.568660204347827,-17.810205228205653,3.2091355644247286,5.5736029253609285,1.1822336804681002,0,,0,0.0,0.0,0.0,0.0
14,adverse,100.67256503289671,0.11682539682539682,4.355630093769136,0.5613975997875313,0.04091551268458542,13.564555345077217,-17.820201479652024,3.182366940233083,5.52889324730519,1.1732631535360531,0,,0,0.0,0.0,0.0,0.0
15,adverse,100.50086563429156,0.11666666666666665,4.257014039366197,0.5543484517583935,0.04112005353514397,13.56744586077218,-17.82459958968807,3.108503515485282,5.405524563247113,1.1485105238809157,0,,0,0.0,0.0,0.0,0.0
16,adverse,100.7127745711145,0.1165079365079365,4.372575684465694,0.5630364892573758,0.040928197720598025,13.542700809459763,-17.84335336662876,3.195059187664805,5.550092181266583,1.1775164968008893,0,,0,0.0,0.0,0.0,0.0
17,adverse,100.72626133774246,0.11634920634920634,4.377339748187637,0.5635860741366562,0.040941518102436826,13.53227540157818,-17.854755421723105,3.1986274713925402,5.556052024982734,1.178712276795097,0,,0,0.0,0.0,0.0,0.0
18,adverse,100.62177051093003,0.11619047619047618,4.315839298240398,0.5592969891420501,0.04108107646409589,13.531760032702204,-17.863510098467692,3.152563634382058,5.479114962098738,1.16327566385834,0,,0,0.0,0.0,0.0,0.0
19,adverse,100.3439821580254,0.11603174603174603,4.159227946372617,0.5478331843829722,0.04138429145855932,13.537954401078409,-17.85881625390183,3.0352617318330903,5.283194160912144,1.123966214539527,0,,0,0.0,0.0,0.0,0.0
20,adverse,100.25235866579914,0.11587301587301586,4.106373069531344,0.5440218871432528,0.0414964963930844,13.531345107043032,-17.86182379204999,2.9956734290789764,5.217072709983711,1.1106996404523675,0,,0,0.0,0.0,0.0,0.0
21,adverse,100.25461443850354,0.11571428571428571,4.104764221429306,0.5440998896351054,0.041523109528357555,13.522083747395042,-17.873364754191883,2.9944684018505505,5.215060041008062,1.110295819578756,0,,0,0.0,0.0,0.0,0.0
