step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
0,calm,100.0,0.11904761904761904,2.106958981776657,0.539068748320901,0.08219254890120971,13.698758150201622,-9.608867267827957,1.885792729997621,2.328125233555693,0.22116625177903604,0,,0,0.0,0.0,0.0,0.0
1,calm,100.06081825319811,0.11888888888888888,2.1383689932086867,0.5440402141343428,0.08209000387925583,13.680049856968262,-9.623570994161291,1.9150982706637047,2.3616397157536686,0.22327072254498204,0,,0,0.0,0.0,0.0,0.0
2,calm,100.20577545722843,0.11873015873015873,2.2165618919126544,0.5558950453258991,0.08171804339513349,13.639314706286921,-9.645980641699426,1.9880522451545066,2.445071538670802,0.22850964675814783,1,1.9880522451545066,1,-55.589504532589906,5370.450106574041,1.1340778817942572,21.716886794019956
3,calm,100.26404006920836,0.11857142857142856,2.2475572046901604,0.5606393817492136,0.08158132962895946,13.614110389412554,-9.656178259486436,1.9919708719759197,2.4531435374044013,0.23058633271424078,0,,1,-56.063938174921354,5418.009226572196,1.1435916085392372,21.568003433276317
4,calm,100.03368688274065,0.1184126984126984,2.11905404049773,0.5417396145178224,0.08232863038260678,13.65745428605691,-9.635837255024075,1.872077419784382,2.316030661211078,0.2219766207133479,0,,1,-54.17396145178224,5228.910074566082,1.1814038764868706,21.594381550607977
5,calm,100.19340220044579,0.11825396825396825,2.2050932683970643,0.5548378158324081,0.08192303935022847,13.615326585902771,-9.661122169687706,1.952352019414461,2.407834517379668,0.22774124898260334,0,,1,-55.48378158324081,5360.119162740503,1.2076509435351646,21.519645808876703
6,calm,100.27216262948666,0.11809523809523809,2.2475113866375196,0.561269114077503,0.08171899798686008,13.584517513954408,-9.673077898807371,1.991928123732806,2.4530946495422334,0.23058326290471381,0,,1,-56.1269114077503,5424.594283491921,1.2205485472061823,21.37863358694449
7,calm,100.17708434310404,0.11793650793650794,2.19298217064739,0.553468217169852,0.08208530661865666,13.601239859842945,-9.670431382186292,1.941052365214015,2.3949119760807656,0.22692980543337515,0,,1,-55.3468217169852,5346.431543322809,1.2361779693555746,21.246533122380242
8,calm,100.27966210405694,0.11777777777777777,2.248650193734008,0.5618608911082242,0.08180390741981301,13.564105652101967,-9.684522538222339,1.9929906307538294,2.4543097567141867,0.23065956298017853,0,,1,-56.18608911082242,5430.576161701625,1.2530102594893644,21.119150093320968
9,calm,100.3440111126153,0.11761904761904761,2.283436375790025,0.5671106787587455,0.08162968517875256,13.534329035255675,-9.69352531215072,2.0254461386120934,2.4914266129679565,0.23299023717793166,0,,1,-56.711067875874555,5483.244101040897,1.26354595449622,20.971713474861644
10,calm,100.39592701661059,0.11746031746031746,2.3114489861199417,0.5713395123584845,0.08148947861442493,13.506814439201834,-9.700792637636349,2.0515819040499057,2.5213160681899778,0.2348670820700361,0,,1,-57.13395123584844,5525.6913768319855,1.2720371078851154,20.820276999151247
11,calm,100.40080402443134,0.1173015873015873,2.3126961194818705,0.5717331749768557,0.0815258913754125,13.495900321980029,-9.7064037063792,2.0527454794765854,2.5226467594871558,0.23495064000528532,0,,1,-57.173317497685574,5529.642990691002,1.2728275887530922,20.665557127468674
12,calm,100.49751199749704,0.11714285714285713,2.3668266785280423,0.579600412394105,0.08119084761230004,13.448119006424031,-9.712518295188932,2.1032492910666636,2.580404065989421,0.23857738746137885,0,,1,-57.9600412394105,5608.690956607984,1.2886403444876355,20.53368462770777
13,calm,100.36689607129817,0.11698412698412698,2.2902738772232,0.5689554805229088,0.08176646029108124,13.489975419027575,-9.716441220762974,2.0318255274492456,2.4987222269971543,0.2334483497739544,0,,1,-56.89554805229088,5501.829711552327,1.3100083199036836,20.42754099081776
