step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
0,volatile,100.0,0.11904761904761904,5.397754743040231,0.5369670497732795,0.0302967644169278,13.70567914099115,-23.323232416050505,4.259794813404346,6.535714672676116,1.1379599296358853,0,,0,0.0,0.0,0.0,0.0
1,volatile,100.16443918101845,0.11888888888888888,5.482755354216025,0.5419206758436699,0.030229831519818135,13.702118500122904,-23.361730920415738,4.328135304789684,6.637375403642365,1.1546200494263408,0,,0,0.0,0.0,0.0,0.0
2,volatile,100.55806329367137,0.11873015873015873,5.694688437642284,0.5537628253263768,0.03002350086244365,13.697451685796349,-23.419303981547294,4.498529503864397,6.890847371420172,1.1961589337778877,0,,0,0.0,0.0,0.0,0.0
3,volatile,100.71611619610975,0.11857142857142856,5.778866490814934,0.5584903817048411,0.029945806317362936,13.686663843500725,-23.44574553309845,4.566208658615207,6.991524323014661,1.212657832199727,0,,0,0.0,0.0,0.0,0.0
4,volatile,100.08856438411534,0.1184126984126984,5.430594084628993,0.5395570275900007,0.030331991403077626,13.672619218005895,-23.395692461632258,4.28619764404171,6.5749905252162755,1.1443964405872826,0,,0,0.0,0.0,0.0,0.0
5,volatile,100.5221814440796,0.11825396825396825,5.663676542337598,0.552643210497156,0.03010602950581421,13.670254887552918,-23.460831233295227,4.473595940039429,6.853757144635766,1.1900806022981691,0,,0,0.0,0.0,0.0,0.0
6,volatile,100.73607665410029,0.11809523809523809,5.778844325912836,0.5590590800068189,0.029993782280874768,13.658948965375897,-23.491643660616774,4.56619083803392,6.991497813791751,1.2126534878789157,0,,0,0.0,0.0,0.0,0.0
7,volatile,100.4762964558762,0.11793650793650794,5.630898918667555,0.5512313642250248,0.03017434680199544,13.652021882084034,-23.48654696659007,4.447242730608714,6.814555106726395,1.1836561880588408,0,,0,0.0,0.0,0.0,0.0
8,volatile,100.75506929836926,0.11777777777777777,5.7820049767474515,0.5596101930945034,0.03002225508690999,13.640304807643417,-23.52268942564391,4.5687320013049515,6.9952779521899515,1.2132729754425005,0,,0,0.0,0.0,0.0,0.0
9,volatile,100.92992492643558,0.11761904761904761,5.876578101503455,0.5648441777120772,0.029928137955035843,13.626391191522766,-23.54585576450164,4.644768793608778,7.108387409398132,1.231809307894677,0,,0,0.0,0.0,0.0,0.0
10,volatile,101.07099363013587,0.11746031746031746,5.952818192618217,0.5690566151779796,0.029852592145994655,13.611622154632402,-23.564587519374204,4.706065826865046,7.199570558371388,1.2467523657531705,0,,0,0.0,0.0,0.0,0.0
11,volatile,101.08358913255282,0.1173015873015873,5.956246478853018,0.5694300821093751,0.02986410874332151,13.601861599298413,-23.579816452279687,4.708822168997827,7.203670788708209,1.2474243098551914,0,,0,0.0,0.0,0.0,0.0
12,volatile,101.34735198909353,0.11714285714285713,6.1037337034058226,0.5772854394721083,0.029696348139899974,13.577733078539016,-23.594499232816005,4.827401897538281,7.380065509273364,1.2763318058675412,0,,0,0.0,0.0,0.0,0.0
13,volatile,100.98949222896147,0.11698412698412698,5.89530738300391,0.5666082051843436,0.02996930079447262,13.58749892900391,-23.60794814460991,4.659827135935144,7.1307876300726765,1.2354802470687662,0,,0,0.0,0.0,0.0,0.0
14,volatile,100.90960077842426,0.11682539682539682,5.846387847556166,0.5642058060633814,0.03004358471269479,13.581182578535364,-23.620496227815867,4.620495829435157,7.072279865677174,1.2258920181210085,0,,0,0.0,0.0,0.0,0.0
15,volatile,100.67579904938309,0.11666666666666665,5.711549558526507,0.5571528861945211,0.030216249349742475,13.577540671894493,-23.623402682067198,4.512085845055312,6.911013271997701,1.1994637134711952,0,,0,0.0,0.0,0.0,0.0
16,volatile,100.96369426420105,0.1165079365079365,5.869447676118426,0.5658203654403148,0.03004818821833246,13.560879725181177,-23.65268563483171,4.6390359315992145,7.099859420637638,1.2304117445192115,0,,0,0.0,0.0,0.0,0.0
17,volatile,100.98173922537343,0.11634920634920634,5.87590708901746,0.5663580690136978,0.030056467962452347,13.550978565730052,-23.66842882728001,4.644229299570037,7.107584878464882,1.231677789447422,0,,0,0.0,0.0,0.0,0.0
18,volatile,100.83929279073391,0.11619047619047618,5.79177939420439,0.562062475375931,0.030172641320077048,13.54649810923516,-23.678441608499334,4.57659063294033,7.00696815546845,1.2151887612640604,0,,0,0.0,0.0,0.0,0.0
19,volatile,100.4613627111246,0.11603174603174603,5.577764226376807,0.5505984319642998,0.03043175863465168,13.542087156327474,-23.667019287309362,4.404522438006953,6.751006014746661,1.1732417883698543,0,,0,0.0,0.0,0.0,0.0
20,volatile,100.33658878501059,0.11587301587301586,5.5055451481977045,0.5467789269222648,0.030526470620138635,13.531974368169234,-23.66942218952102,4.346458299150955,6.664631997244454,1.15908684904675,0,,0,0.0,0.0,0.0,0.0
21,volatile,100.33935016407463,0.11571428571428571,5.503296807267986,0.5468454825048324,0.03054595647953703,13.522807699986167,-23.68512105331367,4.344650633043461,6.661942981492512,1.1586461742245253,0,,0,0.0,0.0,0.0,0.0
22,volatile,100.20589504364236,0.11555555555555555,5.42683151094888,0.542743289966976,0.030643297426710212,13.511279125614776,-23.68443823917491,4.283172534802899,6.57049048709486,1.1436589761459803,0,,0,0.0,0.0,0.0,0.0
23,volatile,100.82748171871506,0.11539682539682539,5.766320528479511,0.5616685212315885,0.0302844802673023,13.500673160743192,-23.754715282860747,4.556121704897527,6.976519352061495,1.210198823581984,0,,0,0.0,0.0,0.0,0.0
24,volatile,101.31345616665457,0.11523809523809524,6.039067243600009,0.5763075526841104,0.029965277486366033,13.468903256492139,-23.77745266771719,4.775410063854407,7.302724423345611,1.2636571797456018,0,,0,0.0,0.0,0.0,0.0
25,volatile,100.00577667067257,0.11507936507936507,5.307557221291987,0.5365254705004855,0.030816074893668617,13.477475429234618,-23.70221934898961,4.187276005918758,6.4278384366652155,1.1202812153732293,0,,0,0.0,0.0,0.0,0.0
26,volatile,99.1042915216384,0.11492063492063491,4.832736510542574,0.5085079329632722,0.03124181269986142,13.399937110942298,-23.521193371653,3.8055201544762296,5.859952866608919,1.0272163560663445,0,,0,0.0,0.0,0.0,0.0
27,volatile,99.02026784755921,0.11476190476190476,4.7863891900184825,0.5058354000783502,0.03129370870257414,13.380938467154284,-23.51255096362264,3.76825690877486,5.804521471262105,1.0181322812436224,0,,0,0.0,0.0,0.0,0.0
28,volatile,98.8191919993658,0.1146031746031746,4.68158737063478,0.49948549857827823,0.031382423977876425,13.345944892463793,-23.466486775828635,3.6839962459903632,5.679178495279197,0.9975911246444168,0,,0,0.0,0.0,0.0,0.0
29,volatile,98.91918494760968,0.11444444444444443,4.727958221446386,0.502573392308072,0.031371807882197796,13.34992781009802,-23.51305814741567,3.721278410042894,5.734638032849878,1.0066798114034916,0,,0,0.0,0.0,0.0,0.0
30,volatile,99.02102312616054,0.11428571428571428,4.775563713320864,0.5057201101798805,0.03135872823515737,13.353306073218956,-23.558912117091488,3.7595532255099746,5.791574201131753,1.016010487810889,0,,0,0.0,0.0,0.0,0.0
31,volatile,100.02898370029172,0.11412698412698412,5.297395199227232,0.5370939264159816,0.030933117089480305,13.422930321960312,-23.799485618564976,4.179105740178694,6.41568465827577,1.1182894590485375,-1,6.41568465827577,-1,53.709392641598164,-4732.021994463634,1.0944991922197982,110.73444671263405
32,volatile,99.49671869549091,0.11396825396825397,5.012150663665963,0.5205220474693802,0.031214087456541913,13.38245066503428,-23.713639830661524,3.9747691335874347,6.099532193744492,1.0623815300785286,0,,-1,52.052204746938024,-4567.1702136346175,1.1274761437759127,110.63829318497574
33,volatile,99.31587253328009,0.1138095238095238,4.914768686548491,0.5148300033108936,0.0313125401049104,13.357273763346527,-23.68586239102977,3.8964740239849878,5.983063349111996,1.0432946625635042,0,,-1,51.48300033108936,-4510.6504866314535,1.138782350417874,110.95174322698495
34,volatile,100.29078470154549,0.11365079365079364,5.4277040319738745,0.5451169979590724,0.03085247790119554,13.40195570173569,-23.88250004881251,4.3088740417069955,6.596534022240754,1.1438299902668794,0,,-1,54.51169979590724,-4814.46188271238,1.1995324796082212,109.7888620368467
35,volatile,100.6006255664719,0.11349206349206349,5.5942846327010045,0.5546355714788241,0.030686308371901984,13.39353128955222,-23.928529302338447,4.442804844691608,6.795764420710402,1.176479788009397,0,,-1,55.46355714788241,-4910.23847926014,1.2186839686199706,110.00160268849504
36,volatile,100.91932797124761,0.11333333333333333,5.768801060754704,0.564377116703228,0.030497841733372156,13.377010408973394,-23.961797257539843,4.5831160528467825,7.004486068662627,1.2106850079079219,0,,-1,56.4377116703228,-5008.569161208924,1.2383461725689378,110.20666671962135
37,volatile,100.67013413954399,0.11317460317460316,5.625307678006337,0.5567457955830607,0.03068513451043051,13.374017987992074,-23.965265000850447,4.467747373117096,6.8328679828955785,1.182560304889242,0,,-1,55.67457955830607,-4931.7599140484235,1.2537110949855212,110.47671044832896
38,volatile,99.87780318445193,0.11301587301587301,5.1900733140365745,0.5322165761775822,0.031165104092875436,13.351485410253197,-23.8852437156636,4.117818944485406,6.3123276835877435,1.0972543695511685,0,,-1,53.221657617758225,-4686.816457734523,1.3027095859464937,109.8384555585626
39,volatile,99.95676636342814,0.11285714285714285,5.228401235075992,0.5346496798282449,0.031146377447468575,13.345799205923207,-23.914647789690715,4.148634593001098,6.358167877150887,1.1047666420748945,0,,-1,53.46496798282448,-4711.141839152715,1.3075736894094394,110.20335062703907
40,volatile,100.00780232713844,0.11269841269841269,5.25192959551152,0.536213497757448,0.03114149708394404,13.338550894745898,-23.93887772385829,4.167551394791262,6.386307796231778,1.1093782007202577,0,,-1,53.6213497757448,-4726.78436646654,1.3107015692962272,110.57602286934252
41,volatile,99.42073928142057,0.11253968253968254,4.938739381310143,0.5178074741548049,0.03144587606592887,13.292508820167905,-23.837916399455498,3.915746462573355,6.011732300046931,1.0479929187367878,0,,-1,51.78074741548049,-4543.826917895411,1.347300378772348,110.37933256515316
42,volatile,99.09493147474272,0.11238095238095237,4.7679336069953635,0.507495100100161,0.031597448775763204,13.25046766644789,-23.767941481042325,3.7784186200242726,5.8074485939664555,1.0145149869710912,0,,-1,50.749510010016095,-4441.656955946731,1.3677384587780852,110.56890017304795
43,volatile,99.05962300505531,0.11222222222222221,4.7462621043383635,0.506332892761731,0.03163265483971841,13.23705718961179,-23.77358174284892,3.7609947318880446,5.781529476788683,1.010267372450319,0,,-1,50.6332892761731,-4430.146476423289,1.3700410151940567,110.94186034649192
44,volatile,98.61145343760235,0.11206349206349206,4.518769177618005,0.4920664792149178,0.03179663395527534,13.166902369566303,-23.64419266329314,3.578090418804876,5.509447936431133,0.9656787588131288,0,,-1,49.20664792149178,-4289.491435539478,1.3981776506979198,110.97071702940048
45,volatile,98.5639408033425,0.1119047619047619,4.491674115638126,0.49049784245923334,0.031831779077842355,13.150104213950778,-23.64281000436069,3.556305988973054,5.4770422423032,0.9603681266650727,0,,-1,49.049784245923334,-4274.0334257269615,1.4012698711045044,111.3391935411355
46,volatile,98.60787753052007,0.11174603174603173,4.5094991200278045,0.49183948116174575,0.031842556737446154,13.147611410024272,-23.674366960010435,3.5706372925023553,5.498360947553254,0.9638618275254496,0,,-1,49.18394811617458,-4287.265686136614,1.4039157940018554,111.7091341678015
47,volatile,98.62354860980506,0.11158730158730158,4.51345071097294,0.4922820344320647,0.03186083654173876,13.140648444586995,-23.69573213511149,3.573814371622244,5.503087050323636,0.964636339350696,0,,-1,49.22820344320647,-4291.631176456866,1.40478871748121,112.08386770028574
48,volatile,98.38365729511871,0.11142857142857142,4.392525612971731,0.4845695565072169,0.03194333137328512,13.092008900229212,-23.621989624672782,3.476590592829272,5.35846063311419,0.9409350201424592,0,,-1,48.45695565072169,-4215.768173587128,1.4199643531822979,112.35178342106701
49,volatile,98.66258969308231,0.11126984126984127,4.525162355600763,0.4934143783504414,0.03189525255666264,13.12780544332383,-23.741215042921723,3.5832305339030137,5.517094177298513,0.9669318216977494,0,,-1,49.34143783504414,-4303.050929490344,1.4374174137508273,112.58687093526714
50,volatile,99.08329798517433,0.1111111111111111,4.73177361803824,0.5067594166583882,0.0317822709922924,13.174280949795179,-23.892409044235297,3.7493459889027454,5.764201247173735,1.0074276291354949,0,,-1,50.67594166583882,-4435.3044156274755,1.4638628218966245,112.65765132431989
51,volatile,99.23447727972467,0.11095238095238094,4.8049476672210005,0.5115171265970185,0.03174786630574503,13.181351413496143,-23.951012751874185,3.808177924445685,5.851717409996317,1.021769742775316,0,,-1,51.15171265970185,-4482.526744085504,1.4733053990727951,112.9919569405838
52,volatile,98.84537186030629,0.11079365079365079,4.604536001965158,0.49908423346334946,0.03190887912441538,13.125706768402603,-23.85109969551619,3.6470469455799877,5.61202505835033,0.9824890563851709,-1,5.61202505835033,-2,99.8168466926699,-8732.62957302487,2.45537005309687,212.89655584223874
53,volatile,99.19107993752354,0.11063492063492063,4.775174206404969,0.5100511472123399,0.03181045420214217,13.158031832592577,-23.971599555537537,3.809240061949595,5.841108350860344,1.015934144455374,-1,5.841108350860344,-3,153.01534416370197,-13426.410516427162,3.530733336137927,318.7944562607845
54,volatile,98.95210654334286,0.11047619047619046,4.650399585528625,0.5023892679460666,0.0319197360347004,13.120840805503882,-23.917446275009766,3.7339212667650146,5.716877904292235,0.9914783187636104,-1,5.716877904292235,-4,200.95570717842665,-17599.491394739263,4.499493317889841,425.33931826177286
55,volatile,99.36833741860504,0.11031746031746031,4.858453878872879,0.5156036314738642,0.031785127613745925,13.156726845200549,-24.05114569373265,3.926196918613795,5.990710839131963,1.0322569602590843,0,,-4,206.2414525895457,-18124.83217540689,4.604540464594025,425.6565236651695
56,volatile,98.85862801540196,0.11015873015873015,4.595987966785842,0.49930052469730607,0.03199644750517534,13.089812861313836,-23.92002328165856,3.7151743252958163,5.676801608275866,0.9808136414900248,0,,-4,199.72020987892242,-17480.280004300697,4.733476686059556,425.39074456336675
57,volatile,99.29124766753615,0.10999999999999999,4.811166422405272,0.5130684069787177,0.03186295591211602,13.130591195597885,-24.064073140482826,3.8881778036138384,5.934155041196704,1.0229886187914332,0,,-4,205.22736279148708,-18027.201450501907,4.842839102816447,425.61288762082404
58,volatile,99.28057293203538,0.10984126984126984,4.801870818006016,0.5126860846242748,0.031890385535337414,13.120109532316324,-24.07769286150351,3.8807041376768368,5.923037498335194,1.021166680329179,0,,-4,205.07443384970992,-18012.02161411897,4.845875677407952,427.1373449906132
59,volatile,98.68766892134326,0.10968253968253967,4.499721388687966,0.4936583028609075,0.032117368423467865,13.037275097187788,-23.910655485713704,3.6377759965051246,5.561666780870807,0.9619453921828413,0,,-4,197.463321144363,-17261.048867924823,4.996100271565614,426.25743780376433
60,volatile,98.53834226035006,0.10952380952380952,4.422575276119524,0.488799756853373,0.03218071929012711,13.004641618236937,-23.87251438548134,3.5757505220000967,5.46940003023895,0.9468247541194266,0,,-4,195.5199027413492,-17069.585940419136,5.034400517115861,427.59104417048
61,volatile,98.56273914104284,0.10936507936507936,4.430718020870309,0.4895257551065926,0.032197685110046184,12.999074912871937,-23.89784694458266,3.5822972887797278,5.479138752960889,0.9484207320905804,0,,-4,195.81030204263703,-17098.214215508826,5.040125027231776,429.09829750029166
62,volatile,98.69041535557677,0.1092063492063492,4.489679196900788,0.4935783026970579,0.032186316589370344,13.009263721281801,-23.96050287260771,3.6297020743082333,5.549656319493342,0.9599771225925543,0,,-4,197.43132107882315,-17258.225253297725,5.072120835627876,430.4821494112548
63,volatile,98.22630957915372,0.10904761904761905,4.260301426416788,0.47854620567997896,0.03231930153947971,12.921633119842275,-23.79647764471539,3.4452823468390976,5.275320505994478,0.9150190795776904,0,,-4,191.4184822719916,-16667.724411001556,5.190244628845753,430.4861172521232
64,volatile,97.70581084213072,0.10888888888888888,4.011860053506325,0.46162435898048515,0.03241147288368084,12.802851747520263,-23.572415553334057,3.245535483019085,4.978184623993564,0.8663245704872397,0,,-4,184.64974359219406,-16006.511578933661,5.322513649063375,430.0973191306621
65,volatile,97.79809460349703,0.10873015873015872,4.050848362819451,0.4645378600064332,0.03242654967253376,12.814307636348289,-23.633703157836738,3.2768820837068384,5.024814641932063,0.8739662791126123,0,,-4,185.81514400257328,-16120.5083133068,5.345308436980419,431.51937349150467
66,volatile,97.57868194116783,0.10857142857142857,3.9459684430050643,0.4573387450974748,0.032465424954808815,12.753522005166987,-23.539079814169252,3.1925586281760716,4.899378257834057,0.8534098148289925,0,,-4,182.93549803898992,-15839.572454134648,5.401506848497153,432.64494755905616
67,volatile,97.68764391505626,0.1084126984126984,3.9922472267430607,0.46079589637797136,0.03248201660606331,12.769856155607343,-23.61062206956201,3.2297667703014206,4.9547276831847,0.8624804564416397,0,,-4,184.31835855118854,-15974.68785711156,5.4285245255571235,434.03942934738734
68,volatile,98.04238241127302,0.10825396825396824,4.153976414077171,0.47224055353868893,0.03246666125212131,12.837863790426066,-23.796513474227982,3.359797036918045,5.148155791236296,0.8941793771591253,0,,-4,188.89622141547557,-16423.602203594666,5.518289441870483,434.6428068350215
69,volatile,97.27040168942958,0.10809523809523809,3.795382216155417,0.44705983120734827,0.03253838362041439,12.645836220681549,-23.418412527341893,3.0714873017889555,4.719277130521879,0.8238949143664617,0,,-4,178.8239324829393,-15444.062560312948,5.714236559950442,432.0602975238253
70,volatile,97.38782297222645,0.10793650793650793,3.844372018816209,0.45079325623023075,0.03256245918705059,12.667137111043996,-23.499608998479715,3.1108751031282322,4.777868934504186,0.8334969156879768,0,,-4,180.3173024920923,-15589.527701607189,5.743323770767127,433.4330247956168
